date,plot,subplot,number,ERO,AV,notes,density,AVtrt,EROtrt
16-Dec-14,Plot_15,D1_A10,1,0,15,,D1,A10,E0
16-Dec-14,Plot_15,D3_A9_E1,2,7,34,,D3,A9,E1
16-Dec-14,Plot_15,D1_E10,3,2,0,,D1,A0,E10
16-Dec-14,Plot_15,D1_A9_E1,4,1,6,,D1,A9,E1
16-Dec-14,Plot_15,D3_A5_E5,5,1,16,,D3,A5,E5
16-Dec-14,Plot_15,D2_A5_E5,6,1,30,,D2,A5,E5
16-Dec-14,Plot_15,D2_A9_E1,7,2,48,,D2,A9,E1
16-Dec-14,Plot_15,D2_A10,8,0,19,,D2,A10,E0
16-Dec-14,Plot_15,D2_A1_E9,9,2,19,,D2,A1,E9
16-Dec-14,Plot_15,D1_A5_E5,10,1,4,,D1,A5,E5
16-Dec-14,Plot_15,D2_E10,11,2,0,,D2,A0,E10
16-Dec-14,Plot_15,D3_E10,12,15,0,,D3,A0,E10
16-Dec-14,Plot_15,D3_A10,13,0,42,,D3,A10,E0
16-Dec-14,Plot_15,D1_A1_E9,14,0,3,,D1,A1,E9
16-Dec-14,Plot_15,D3_A1_E9,15,0.04,59,ero whole plot,D3,A1,E9
16-Dec-14,Plot_16,D2_A9_E1,1,1,23,,D2,A9,E1
16-Dec-14,Plot_16,D1_A1_E9,2,0,0,,D1,A1,E9
16-Dec-14,Plot_16,D2_A5_E5,3,2,31,,D2,A5,E5
16-Dec-14,Plot_16,D3_E10,4,2,0,,D3,A0,E10
16-Dec-14,Plot_16,D3_A10,5,0,3,avena weird,D3,A10,E0
16-Dec-14,Plot_16,D1_E10,6,0,3,,D1,A0,E10
16-Dec-14,Plot_16,D2_A1_E9,7,3,10,,D2,A1,E9
16-Dec-14,Plot_16,D2_A10,8,0,2,,D2,A10,E0
16-Dec-14,Plot_16,D3_A5_E5,9,0.5,7,,D3,A5,E5
16-Dec-14,Plot_16,D1_A5_E5,10,3,12,,D1,A5,E5
16-Dec-14,Plot_16,D3_A9_E1,11,2,4,,D3,A9,E1
16-Dec-14,Plot_16,D1_A10,12,0,10,,D1,A10,E0
16-Dec-14,Plot_16,D2_E10,13,6,0,,D2,A0,E10
16-Dec-14,Plot_16,D1_A9_E1,14,1,7,,D1,A9,E1
16-Dec-14,Plot_16,D3_A1_E9,15,0.28,30,ero whole plot,D3,A1,E9
16-Dec-14,Plot_2,D2_E10,1,12,0,,D2,A0,E10
16-Dec-14,Plot_2,D2_A10,2,6,4,,D2,A10,E0
16-Dec-14,Plot_2,D3_A1_E9,3,6,77,,D3,A1,E9
16-Dec-14,Plot_2,D3_A10,4,0,19,,D3,A10,E0
16-Dec-14,Plot_2,D2_A5_E5,5,6,21,,D2,A5,E5
16-Dec-14,Plot_2,D2_A9_E1,6,20,30,,D2,A9,E1
16-Dec-14,Plot_2,D3_A5_E5,7,2,13,,D3,A5,E5
16-Dec-14,Plot_2,D2_A1_E9,8,7,19,,D2,A1,E9
16-Dec-14,Plot_2,D1_A10,9,0,10,,D1,A10,E0
16-Dec-14,Plot_2,D3_A9_E1,10,13,15,,D3,A9,E1
16-Dec-14,Plot_2,D1_E10,11,10,0,,D1,A0,E10
16-Dec-14,Plot_2,D3_E10,12,19,0,,D3,A0,E10
16-Dec-14,Plot_2,D1_A5_E5,13,14,3,,D1,A5,E5
16-Dec-14,Plot_2,D1_A1_E9,14,3,11,,D1,A1,E9
16-Dec-14,Plot_2,D1_A9_E1,15,11,12,,D1,A9,E1
16-Dec-14,Plot_3,D3_A5_E5,1,2,29,,D3,A5,E5
16-Dec-14,Plot_3,D2_A1_E9,2,9,2,Or is avena 22?,D2,A1,E9
16-Dec-14,Plot_3,D2_E10,3,2,0,,D2,A0,E10
16-Dec-14,Plot_3,D3_E10,4,10,0,,D3,A0,E10
16-Dec-14,Plot_3,D1_E10,5,4,0,,D1,A0,E10
16-Dec-14,Plot_3,D1_A10,6,0,19,,D1,A10,E0
16-Dec-14,Plot_3,D1_A9_E1,7,0,11,,D1,A9,E1
16-Dec-14,Plot_3,D2_A10,8,0,20,,D2,A10,E0
16-Dec-14,Plot_3,D3_A9_E1,9,0,22,,D3,A9,E1
16-Dec-14,Plot_3,D3_A1_E9,10,1,59,,D3,A1,E9
16-Dec-14,Plot_3,D3_A10,11,0,39,,D3,A10,E0
16-Dec-14,Plot_3,D2_A9_E1,12,3,38,,D2,A9,E1
16-Dec-14,Plot_3,D1_A1_E9,13,1,5,,D1,A1,E9
16-Dec-14,Plot_3,D2_A5_E5,14,5,29,,D2,A5,E5
16-Dec-14,Plot_3,D1_A5_E5,15,1,13,,D1,A5,E5
16-Dec-14,Plot_4,D1_A10,1,0,5,,D1,A10,E0
16-Dec-14,Plot_4,D1_E10,2,2,0,,D1,A0,E10
16-Dec-14,Plot_4,D3_E10,3,8,0,,D3,A0,E10
16-Dec-14,Plot_4,D3_A5_E5,4,1,15,,D3,A5,E5
16-Dec-14,Plot_4,D2_A1_E9,5,2,9,,D2,A1,E9
16-Dec-14,Plot_4,D3_A1_E9,6,3,73,,D3,A1,E9
16-Dec-14,Plot_4,D1_A9_E1,7,1,7,,D1,A9,E1
16-Dec-14,Plot_4,D1_A5_E5,8,1,4,,D1,A5,E5
16-Dec-14,Plot_4,D2_A10,9,0,28,,D2,A10,E0
16-Dec-14,Plot_4,D3_A9_E1,10,8,24,,D3,A9,E1
16-Dec-14,Plot_4,D2_E10,11,5,0,,D2,A0,E10
16-Dec-14,Plot_4,D2_A9_E1,12,0,32,,D2,A9,E1
16-Dec-14,Plot_4,D2_A5_E5,13,0,18,,D2,A5,E5
16-Dec-14,Plot_4,D1_A1_E9,14,0,3,,D1,A1,E9
16-Dec-14,Plot_4,D3_A10,15,0,33,,D3,A10,E0
16-Dec-14,Plot_5,D3_A5_E5,1,1,9,,D3,A5,E5
16-Dec-14,Plot_5,D2_A9_E1,2,6,5,,D2,A9,E1
16-Dec-14,Plot_5,D2_A10,3,0,1,,D2,A10,E0
16-Dec-14,Plot_5,D2_A1_E9,4,0,1,,D2,A1,E9
16-Dec-14,Plot_5,D3_E10,5,12,0,,D3,A0,E10
16-Dec-14,Plot_5,D1_A10,6,0,13,,D1,A10,E0
16-Dec-14,Plot_5,D3_A9_E1,7,4,8,,D3,A9,E1
16-Dec-14,Plot_5,D3_A10,8,0,10,,D3,A10,E0
16-Dec-14,Plot_5,D1_A5_E5,9,10,3,,D1,A5,E5
16-Dec-14,Plot_5,D2_E10,10,1,0,,D2,A0,E10
16-Dec-14,Plot_5,D3_A1_E9,11,0.5,34,,D3,A1,E9
16-Dec-14,Plot_5,D1_A9_E1,12,1,4,,D1,A9,E1
16-Dec-14,Plot_5,D1_A1_E9,13,1,2,,D1,A1,E9
16-Dec-14,Plot_5,D1_E10,14,4,0,,D1,A0,E10
16-Dec-14,Plot_5,D2_A5_E5,15,3,4,,D2,A5,E5
16-Dec-14,Plot_6,D2_A1_E9,1,3,12,gopher,D2,A1,E9
16-Dec-14,Plot_6,D1_E10,2,2,0,,D1,A0,E10
16-Dec-14,Plot_6,D3_E10,3,10,0,,D3,A0,E10
16-Dec-14,Plot_6,D2_A10,4,0,9,,D2,A10,E0
16-Dec-14,Plot_6,D3_A1_E9,5,1.5,65,,D3,A1,E9
16-Dec-14,Plot_6,D1_A1_E9,6,2,4,,D1,A1,E9
16-Dec-14,Plot_6,D3_A10,7,0,19,,D3,A10,E0
16-Dec-14,Plot_6,D1_A9_E1,8,1,12,,D1,A9,E1
16-Dec-14,Plot_6,D1_A10,9,0,18,,D1,A10,E0
16-Dec-14,Plot_6,D1_A5_E5,10,1,14,,D1,A5,E5
16-Dec-14,Plot_6,D2_A9_E1,11,1,62,,D2,A9,E1
16-Dec-14,Plot_6,D2_A5_E5,12,2,19,,D2,A5,E5
16-Dec-14,Plot_6,D3_A9_E1,13,4,27,,D3,A9,E1
16-Dec-14,Plot_6,D3_A5_E5,14,1,16,,D3,A5,E5
16-Dec-14,Plot_6,D2_E10,15,2,0,,D2,A0,E10
16-Dec-14,Plot_7,D3_A1_E9,1,1,61,,D3,A1,E9
16-Dec-14,Plot_7,D3_A10,2,0,26,,D3,A10,E0
16-Dec-14,Plot_7,D2_E10,3,2,0,,D2,A0,E10
16-Dec-14,Plot_7,D1_A1_E9,4,3,2,,D1,A1,E9
16-Dec-14,Plot_7,D1_A9_E1,5,1,16,,D1,A9,E1
16-Dec-14,Plot_7,D2_A1_E9,6,0,17,,D2,A1,E9
16-Dec-14,Plot_7,D2_A5_E5,7,2,20,,D2,A5,E5
16-Dec-14,Plot_7,D3_A5_E5,8,0.5,15,,D3,A5,E5
16-Dec-14,Plot_7,D1_A10,9,0,11,,D1,A10,E0
16-Dec-14,Plot_7,D1_A5_E5,10,1,9,,D1,A5,E5
16-Dec-14,Plot_7,D2_A9_E1,11,2,37,,D2,A9,E1
16-Dec-14,Plot_7,D1_E10,12,0,0,,D1,A0,E10
16-Dec-14,Plot_7,D3_E10,13,4,0,,D3,A0,E10
16-Dec-14,Plot_7,D2_A10,14,0,13,,D2,A10,E0
16-Dec-14,Plot_7,D3_A9_E1,15,5,22,,D3,A9,E1
16-Dec-14,Plot_8,D3_A9_E1,1,3,6,,D3,A9,E1
16-Dec-14,Plot_8,D3_A1_E9,2,5,10,,D3,A1,E9
16-Dec-14,Plot_8,D2_A9_E1,3,4,18,,D2,A9,E1
16-Dec-14,Plot_8,D3_E10,4,10,0,,D3,A0,E10
16-Dec-14,Plot_8,D2_A1_E9,5,2,18,,D2,A1,E9
16-Dec-14,Plot_8,D1_A9_E1,6,2,18,,D1,A9,E1
16-Dec-14,Plot_8,D2_A5_E5,7,1,10,,D2,A5,E5
16-Dec-14,Plot_8,D2_A10,8,0,8,,D2,A10,E0
16-Dec-14,Plot_8,D1_A5_E5,9,1,10,,D1,A5,E5
16-Dec-14,Plot_8,D3_A10,10,0,17,,D3,A10,E0
16-Dec-14,Plot_8,D1_A1_E9,11,0,2,swapped with 12?,D1,A1,E9
16-Dec-14,Plot_8,D1_A10,12,1,8,swapped with 11?,D1,A10,E0
16-Dec-14,Plot_8,D3_A5_E5,13,1,20,,D3,A5,E5
16-Dec-14,Plot_8,D2_E10,14,6,0,,D2,A0,E10
16-Dec-14,Plot_8,D1_E10,15,5,0,,D1,A0,E10
16-Dec-14,Plot_9,D3_A1_E9,1,1.5,20,,D3,A1,E9
16-Dec-14,Plot_9,D2_A5_E5,2,9,14,,D2,A5,E5
16-Dec-14,Plot_9,D3_A10,3,0,15,,D3,A10,E0
16-Dec-14,Plot_9,D2_A1_E9,4,3.5,7,,D2,A1,E9
16-Dec-14,Plot_9,D2_A10,5,0,9,,D2,A10,E0
16-Dec-14,Plot_9,D1_A1_E9,6,18,3,,D1,A1,E9
16-Dec-14,Plot_9,D1_A5_E5,7,10,10,,D1,A5,E5
16-Dec-14,Plot_9,D1_A9_E1,8,3,9,,D1,A9,E1
16-Dec-14,Plot_9,D1_A10,9,0,6,,D1,A10,E0
16-Dec-14,Plot_9,D3_A9_E1,10,23,13,,D3,A9,E1
16-Dec-14,Plot_9,D3_E10,11,10,0,,D3,A0,E10
16-Dec-14,Plot_9,D2_A9_E1,12,4,33,,D2,A9,E1
16-Dec-14,Plot_9,D2_E10,13,9,0,,D2,A0,E10
16-Dec-14,Plot_9,D1_E10,14,8,0,,D1,A0,E10
16-Dec-14,Plot_9,D3_A5_E5,15,11,15,,D3,A5,E5
