,date,Recorder,plot,number,subplot,AVquadrat,AVquadrat2,AVstemsTotal,AVstemswseed,AVgoodseed,AVmoldseed,AVstemswmold,AVstemsnoseed,Avextra,EROquadrat,EROquadrat2,EROcount,EROstork,EROseed,EROextra,notes
18,4/15/15,CTW,2,3,D3_A1_E9,25x25cm,25x25cm,43,,16,74,,,,5x5cm,5x5cm,2,4,1,,
19,4/15/15,CTW,2,4,D3_A10,5x5cm,5x5cm,2,,44,0,,,,NA,NA,NA,NA,NA,,2 big AV plants
20,4/15/15,CTW,2,5,D2_A5_E5,10x25cm,10x25cm,5,,32,10,,,,10x25cm,10x25cm,4,12,13,,Some AV seeds already gone
21,4/15/15,CTW,2,6,D2_A9_E1,10x25cm,10x25cm,22,,137,31,,,,25x25cm,25x25cm,1,0,0,,"Mold withered away AV tops, not exhaustive seed count. ERO is seedling size."
22,4/15/15,CTW,2,7,D3_A5_E5,5x5cm,5x5cm,15,,10,15,,,,5x5cm,5x5cm,0,0,0,,
23,4/15/15,CTW,2,8,D2_A1_E9,25x25cm,25x25cm,12,,110,20,,,,10x25cm,10x25cm,2,6,8,,
24,4/15/15,CTW,2,9,D1_A10,25x25cm,25x25cm,6,,95,0,,,,NA,NA,NA,NA,NA,,
25,4/15/15,CTW,2,10,D3_A9_E1,5x5cm,5x5cm,17,,28,24,,,,25x25cm,25x25cm,0,0,0,,
26,4/15/15,CTW,2,11,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,5,17,18,,
27,4/15/15,CTW,2,12,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,1,12,8,,
28,4/15/15,CTW,2,13,D1_A5_E5,25x25cm,25x25cm,1,,0,0,,,,25x25cm,25x25cm,5,45,20,,
29,4/15/15,CTW,2,14,D1_A1_E9,25x25cm,25x25cm,24,,216,85,,,,25x25cm,25x25cm,2,2,2,,
30,4/15/15,CTW,2,15,D1_A9_E1,25x25cm,25x25cm,9,,81,65,,,,25x25cm,25x25cm,5,25,10,,
31,4/15/15,CTW,3,1,D3_A5_E5,5x5cm,5x5cm,15,,90,15,,,,5x5cm,5x5cm,0,0,0,,"Plot 3 general note: AV dense, tall, healthy and dominant. Hard to get accurate count in frames, very windy today."
32,4/15/15,CTW,3,2,D2_A1_E9,25x25cm,25x25cm,9,,282,38,,,,10x25cm,10x25cm,3,3,2,,"Really big, branched AV"
33,4/15/15,CTW,3,3,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,10x25cm,10x25cm,2,6,6,,
34,4/15/15,CTW,3,4,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,2,13,20,,"2 big ERO plants, some tops missing"
35,4/15/15,CTW,3,5,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,3,9,4,,
36,4/15/15,CTW,3,6,D1_A10,25x25cm,25x25cm,7,,169,154,,,,NA,NA,NA,NA,NA,,"1 AV with mold broke off while sampling, had 64 seeds"
37,4/15/15,CTW,3,7,D1_A9_E1,25x25cm,25x25cm,6,,169,27,,,,25x25cm,25x25cm,0,0,0,,5 big branched AV plants
38,4/15/15,CTW,3,8,D2_A10,10x25cm,10x25cm,14,,162,4,,,,NA,NA,NA,NA,NA,,
39,4/15/15,CTW,3,9,D3_A9_E1,5x5cm,5x5cm,10,,90,0,,,,25x25cm,25x25cm,0,0,0,,AV took over
40,4/15/15,CTW,3,10,D3_A1_E9,25x25cm,25x25cm,31,,287,39,,,,5x5cm,5x5cm,1,1,0,,
41,4/15/15,CTW,3,11,D3_A10,5x5cm,5x5cm,16,,42,0,,,,NA,NA,NA,NA,NA,,
42,4/15/15,CTW,3,12,D2_A9_E1,10x25cm,10x25cm,15,,264,23,,,,25x25cm,25x25cm,0,0,0,,"Big AV plants in miniplot, hard to count"
43,4/15/15,CTW,3,13,D1_A1_E9,25x25cm,25x25cm,4,,112,0,,,,25x25cm,25x25cm,1,1,1,,"Big, branched AV plants, ERO tiny"
44,4/15/15,CTW,3,14,D2_A5_E5,10x25cm,10x25cm,10,,257,72,,,,10x25cm,10x25cm,0,0,0,,
45,4/15/15,CTW,3,15,D1_A5_E5,25x25cm,25x25cm,10,,180,24,,,,25x25cm,25x25cm,1,0,1,,
46,4/15/15,CTW,4,1,D1_A10,25x25cm,25x25cm,3,,67,0,,,,NA,NA,NA,NA,NA,,Not all AV seeds out yet
47,4/15/15,CTW,4,2,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,2,29,8,,"Tops cut on some ERO, possibly 7 more storks would have been on plants"
48,4/15/15,CTW,4,3,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,4,14,10,,
49,4/15/15,CTW,4,4,D3_A5_E5,5x5cm,5x5cm,8,,104,0,,,,5x5cm,5x5cm,0,0,0,,
50,4/15/15,CTW,4,5,D2_A1_E9,25x25cm,25x25cm,3,,37,0,,,,10x25cm,10x25cm,1,2,1,,
51,4/15/15,CTW,4,6,D3_A1_E9,25x25cm,25x25cm,50,,472,130,,,,5x5cm,5x5cm,0,0,0,,"Really dense AV, hard to count"
52,4/15/15,CTW,4,7,D1_A9_E1,25x25cm,25x25cm,4,,56,0,,,,25x25cm,25x25cm,1,1,1,,Seeds not out on 1 AV plant
53,4/15/15,CTW,4,8,D1_A5_E5,25x25cm,25x25cm,3,,29,15,,,,25x25cm,25x25cm,0,0,0,,
54,4/15/15,CTW,4,9,D2_A10,10x25cm,10x25cm,14,,96,5,,,,NA,NA,NA,NA,NA,,
55,4/15/15,CTW,4,10,D3_A9_E1,5x5cm,5x5cm,11,,45,0,,,,25x25cm,25x25cm,0,0,0,,"Dense AV with litter layer, hard to count"
56,4/15/15,CTW,4,11,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,10x25cm,10x25cm,3,3,1,,
57,4/15/15,CTW,4,12,D2_A9_E1,10x25cm,10x25cm,11,,235,9,,,,25x25cm,25x25cm,0,0,0,,"Dense, thick AV, hard to count"
58,4/15/15,CTW,4,13,D2_A5_E5,10x25cm,10x25cm,7,,109,0,,,,10x25cm,10x25cm,1,3,2,,ERO shriveled
59,4/15/15,CTW,4,14,D1_A1_E9,25x25cm,25x25cm,5,,77,0,,,,25x25cm,25x25cm,0,0,0,,
60,4/15/15,CTW,4,15,D3_A10,5x5cm,5x5cm,16,,30,0,,,,NA,NA,NA,NA,NA,,
61,4/20/15,LMH,5,1,D3_A5_E5,5x5cm,5x5cm,,11,65,7,2,1,,*5x5cm,25x25cm,5,11,13,,"2/11 AV plants with seed have mold, seed not yet out on 1 AV plant; *ERO collected using 25x25cm frame"
62,4/20/15,LMH,5,2,D2_A9_E1,10x25cm,10x25cm,,10,138,0,0,0,,25x25cm,25x25cm,6,9,9,,
63,4/20/15,LMH,5,3,D2_A10,10x25cm,10x25cm,,1,19,0,0,0,,NA,NA,NA,NA,NA,,Some gopher
64,4/20/15,LMH,5,4,D2_A1_E9,25x25cm,25x25cm,,2,30,0,0,0,,10x25cm,10x25cm,0,0,0,,Some gopher
65,4/20/15,LMH,5,5,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,2,30,12,,
66,4/20/15,LMH,5,6,D1_A10,25x25cm,25x25cm,,16,76,22,2,0,,NA,NA,NA,NA,NA,,2/16 AV plants with seed have mold
67,4/20/15,LMH,5,7,D3_A9_E1,5x5cm,5x5cm,,6,40,0,0,0,,25x25cm,25x25cm,1,2,2,,
68,4/20/15,LMH,5,8,D3_A10,5x5cm,5x5cm,,12,34,4,2,0,,NA,NA,NA,NA,NA,,2/12 AV plants with seed have mold
69,4/20/15,LMH,5,9,D1_A5_E5,25x25cm,25x25cm,,4,51,17,2,0,,25x25cm,25x25cm,6,13,4,,2/4 AV plant with seed have mold; Gopher bottom right
70,4/20/15,LMH,5,10,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,*10x25cm,25x25cm,1,6,4,,Gopher; *ERO collected using 25x25cm frame
71,4/20/15,LMH,5,11,D3_A1_E9,25x25cm,25x25cm,,51,327,35,9,6,,*5x5cm,25x25cm,4,3,6,,9/51 AV plants with seed have mold; *ERO collected using 25x25cm frame
72,4/20/15,LMH,5,12,D1_A9_E1,25x25cm,25x25cm,,17,120,38,3,0,,25x25cm,25x25cm,1,2,2,,3/12 AV plants with seed have mold
73,4/20/15,LMH,5,13,D1_A1_E9,25x25cm,25x25cm,,1,0,7,1,1,,25x25cm,25x25cm,3,17,7,,"1 AV plant with seed has mold, seed not out yet on 1 AV plant; Gopher upper right"
74,4/20/15,LMH,5,14,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,2,7,7,,Gopher upper left
75,4/20/15,LMH,5,15,D2_A5_E5,10x25cm,10x25cm,,8,97,0,0,1,,*10x25cm,25x25cm,2,4,3,,Seed not yet out on 1 AV plant; *ERO collected using 25x25cm frame
76,4/20/15,LMH,6,1,D2_A1_E9,25x25cm,25x25cm,,12,308,139,4,6,,10x25cm,10x25cm,4,16,8,,"4/12 flowering AV plants have mold, 6 AV plants not bearing seeds yet"
77,4/20/15,LMH,6,2,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,2,18,14,,
78,4/20/15,LMH,6,3,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,19,52,18,,
79,4/20/15,LMH,6,4,D2_A10,10x25cm,10x25cm,,6,79,0,0,7,,NA,NA,NA,NA,NA,,7 AV plants not yet bearing seeds
80,4/20/15,LMH,6,5,D3_A1_E9,25x25cm,25x25cm,,54,593,160,9,19,,*5x5cm,25x25cm,2,0,2,,"9/54 AV plants with seed have mold, 19 AV plants not yet bearing seed; *ERO collected using 25x25cm frame have 6 stems, 3 storks and 5 buds. If use 5x5cm frame, then count 2 stems, 0 storks, and 2 buds"
81,4/20/15,LMH,6,6,D1_A1_E9,25x25cm,25x25cm,,2,62,0,0,0,1,25x25cm,25x25cm,0,0,0,,2/40 small AV new recruit
82,4/20/15,LMH,6,7,D3_A10,5x5cm,5x5cm,,10,24,0,0,1,,NA,NA,NA,NA,NA,,1 AV plant not yet bearing seeds
83,4/20/15,LMH,6,8,D1_A9_E1,25x25cm,25x25cm,,6,84,0,0,4,,25x25cm,25x25cm,0,0,0,,
84,4/20/15,LMH,6,9,D1_A10,25x25cm,25x25cm,,14,226,0,0,2,,NA,NA,NA,NA,NA,,
85,4/20/15,LMH,6,10,D1_A5_E5,25x25cm,25x25cm,,7,106,0,0,1,,25x25cm,25x25cm,0,0,0,,
86,4/20/15,LMH,6,11,D2_A9_E1,10x25cm,10x25cm,,65,205,174,0,3,,25x25cm,25x25cm,0,0,0,,24/64 flowering AV plants have mold
87,4/20/15,LMH,6,12,D2_A5_E5,10x25cm,10x25cm,,20,154,30,0,5,,10x25cm,10x25cm,1,7,4,,"5/20 flowering AV plants have mold; *ERO count is 2 stems, 8 storks, 4 buds if use 25x25cm frame, ERO count is 1 stem, 7 storks, and 4 buds if use 10x25cm frame"
88,4/20/15,LMH,6,13,D3_A9_E1,5x5cm,5x5cm,,28,62,0,0,0,,*25x25cm,25x25cm,2,1,2,,"*ERO count is 2 stems, 1 stork, and 2 buds ""all plot"", but has ""0"" listed for 25x25cm frame"
89,4/20/15,LMH,6,14,D3_A5_E5,5x5cm,5x5cm,,17,34,14,0,3,,*5x5cm,25x25cm,1,0,1,,"3/17 AV plants with seed have mold; *ERO count is 1 stem, 0 stork, 1 bud ""all plot"""
90,4/20/15,LMH,6,15,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,10x25cm,10x25cm,3,28,23,,
91,4/20/15,LMH,7,1,D3_A1_E9,25x25cm,25x25cm,,50,320,0,0,0,,*5x5cm,25x25cm,2,3,2,,"*ERO count is 2 stems, 3 storks, 2 buds if use 25x25cm frame, 1 0 1 if using 5x5"
92,4/20/15,LMH,7,2,D3_A10,5x5cm,5x5cm,,11,32,0,0,0,,NA,NA,NA,NA,NA,,
93,4/20/15,LMH,7,3,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,*10x25cm,25x25cm,2,9,7,,"*ERO count is 2 stems, 9 storks, and 7 buds if use 25x25cm frame"
94,4/20/15,LMH,7,4,D1_A1_E9,25x25cm,25x25cm,,2,24,0,0,0,,25x25cm,25x25cm,2,46,24,,1 AV plant with 20 seeds and 1 AV plant with 4 seeds--both on edge
95,4/20/15,LMH,7,5,D1_A9_E1,25x25cm,25x25cm,,9,157,0,0,0,,25x25cm,25x25cm,2,10,6,,"1 ERO with 6 storks and 0 buds, 1 ERO with 4 storks and 6 buds"
96,4/20/15,LMH,7,6,D2_A1_E9,25x25cm,25x25cm,,19,79,36,0,0,,10x25cm,10x25cm,0,0,0,,
97,4/20/15,LMH,7,7,D2_A5_E5,10x25cm,10x25cm,,14,151,22,0,0,,10x25cm,10x25cm,2,5,0,,
98,4/20/15,LMH,7,8,D3_A5_E5,5x5cm,5x5cm,,16,45,25,0,0,,5x5cm,5x5cm,1,0,1,,
99,4/20/15,LMH,7,9,D1_A10,25x25cm,25x25cm,,16,176,95,0,0,,NA,NA,NA,NA,NA,,
100,4/20/15,LMH,7,10,D1_A5_E5,25x25cm,25x25cm,,8,136,24,0,0,,25x25cm,25x25cm,0,0,0,,
101,4/20/15,LMH,7,11,D2_A9_E1,10x25cm,10x25cm,,35,17,10,0,0,,25x25cm,25x25cm,1,3,0,,
102,4/20/15,LMH,7,12,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,0,0,0,,
103,4/20/15,LMH,7,13,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,7,60,15,,
104,4/20/15,LMH,7,14,D2_A10,10x25cm,10x25cm,,,8,94,4,0,,NA,NA,NA,NA,NA,,
105,4/20/15,LMH,7,15,D3_A9_E1,5x5cm,5x5cm,,,21,45,0,0,,25x25cm,25x25cm,1,1,0,,"ERO count is ""1/1""--assuming that means 1 stem, 1 stork and no buds"
106,4/21/15,LMH,8,1,D3_A9_E1,5x5cm,5x5cm,,24,46,0,0,0,,25x25cm,25x25cm,8,13,6,,
107,4/21/15,LMH,8,2,D3_A1_E9,25x25cm,25x25cm,,30,170,33,,0,,*5x5cm,25x25cm,4,6,19,,"*ERO count is 4 stems, 6 storks, 19 buds if use 25x25cm frame; no notes on number of AV stems with mold, ERO is 1/2/3 if 5x5"
108,4/21/15,LMH,8,3,D2_A9_E1,10x25cm,10x25cm,,27,165,0,0,0,,25x25cm,25x25cm,9,46,13,,Most ERO on the edge
109,4/21/15,LMH,8,4,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,6,11,9,,
110,4/21/15,LMH,8,5,D2_A1_E9,25x25cm,25x25cm,,10,69,0,0,0,,10x25cm,10x25cm,4,1,3,,
111,4/21/15,LMH,8,6,D1_A9_E1,25x25cm,25x25cm,,23,145,12,,0,,25x25cm,25x25cm,1,2,2,,"Not sure if AV seeds with mold is ""12"", ""22"" or ""62"", no notes on number of AV stems with mold"
112,4/21/15,LMH,8,7,D2_A5_E5,10x25cm,10x25cm,,26,121,48,,0,,10x25cm,10x25cm,0,0,0,,No notes on number of AV stems with mold
113,4/21/15,LMH,8,8,D2_A10,10x25cm,10x25cm,,5,41,0,0,0,,NA,NA,NA,NA,NA,,
114,4/21/15,LMH,8,9,D1_A5_E5,25x25cm,25x25cm,,13,100,5,0,0,,25x25cm,25x25cm,2,3,2,,Count includes 1 huge AV with 36 seeds
115,4/21/15,LMH,8,10,D3_A10,5x5cm,5x5cm,,30,69,0,0,0,,NA,NA,NA,NA,NA,,
116,4/21/15,LMH,8,11,D1_A1_E9,25x25cm,25x25cm,,5,42,0,0,0,,25x25cm,25x25cm,0,0,0,,
117,4/21/15,LMH,8,12,D1_A10,25x25cm,25x25cm,,10,89,55,,0,,NA,NA,NA,NA,NA,,No notes on number of AV stems with mold
118,4/21/15,LMH,8,13,D3_A5_E5,5x5cm,5x5cm,,19,21,14,,0,,*5x5cm,25x25cm,2,4,0,,"*ERO count is 2 stems, 2 storks, 0 buds if use 25x25cm frame (maybe 4 storks if count dried up ones)/0 within 5x5"
119,4/21/15,LMH,8,14,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,10x25cm,10x25cm,5,22,19,,
120,4/21/15,LMH,8,15,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,4,19,4,,
121,4/22/15,LMH,9,1,D3_A1_E9,25x25cm,25x25cm,,41,237,0,0,2,,5x5cm,5x5cm,1,3,1,,
122,4/22/15,LMH,9,2,D2_A5_E5,10x25cm,10x25cm,,12,59,17,2,1,,10x25cm,10x25cm,2,8,5,,2/12 AV plants with seed have mold
123,4/22/15,LMH,9,3,D3_A10,5x5cm,5x5cm,,10,18,11,4,0,,NA,NA,NA,NA,NA,,4/10 AV plants with seed have mold
124,4/22/15,LMH,9,4,D2_A1_E9,25x25cm,25x25cm,,5,52,0,0,0,,10x25cm,10x25cm,6,23,9,,
125,4/22/15,LMH,9,5,D2_A10,10x25cm,10x25cm,,9,104,7,1,6,,NA,NA,NA,NA,NA,,1/9 AV plants with seed have mold; 6 AV plants not yet bearing seed
126,4/22/15,LMH,9,6,D1_A1_E9,25x25cm,25x25cm,,2,13,0,0,0,,25x25cm,25x25cm,12,22,16,,"""another 1/13 for AV"""
127,4/22/15,LMH,9,7,D1_A5_E5,25x25cm,25x25cm,,9,99,0,0,1,,25x25cm,25x25cm,9,13,10,,
128,4/22/15,LMH,9,8,D1_A9_E1,25x25cm,25x25cm,,7,54,26,1,1,,25x25cm,25x25cm,2,20,2,,1/7 AV plants with seed have mold; 1 AV plant not yet bearing seed
129,4/22/15,LMH,9,9,D1_A10,25x25cm,25x25cm,,4,34,17,1,0,,NA,NA,NA,NA,NA,,1/4 AV plants with seed have mold
130,4/22/15,LMH,9,10,D3_A9_E1,5x5cm,5x5cm,,19,28,16,6,0,,25x25cm,25x25cm,10,9,4,,"6/19 AV plants with seed have mold; LMH did another 5x5cm and found: 9 stems with seed, 26 healthy seeds, 3 seeds with mold, and 1 stem with mold"
131,4/22/15,LMH,9,11,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,16,15,5,,
132,4/22/15,LMH,9,12,D2_A9_E1,10x25cm,10x25cm,,40,21,37,7,3,,25x25cm,25x25cm,9,14,7,,"7/40 AV plants with seed have mold, 3 AV plants not yet bearing seed"
133,4/22/15,LMH,9,13,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,10x25cm,10x25cm,10,54,24,,
134,4/22/15,LMH,9,14,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,6,65,9,,
135,4/22/15,LMH,9,15,D3_A5_E5,5x5cm,5x5cm,,12,21,16,4,1,,5x5cm,5x5cm,1,0,0,,4/12 flowering AV plants have mold
136,4/22/15,LMH,10,1,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,5x5cm,5x5cm,10,17,5,,small patch - gopher inside
137,4/22/15,LMH,10,2,D1_A9_E1,25x25cm,25x25cm,,8,93,12,1,3,,25x25cm,25x25cm,2,8,5,1,"1/8 AV plants with seed have mold; + 2 more ERO, each 3/1; some gopher"
138,4/22/15,LMH,10,3,D2_A5_E5,10x25cm,10x25cm,,24,93,43,7,1,,10x25cm,10x25cm,6,10,1,,7/24 AV plants with seed have mold; some gopher
139,4/22/15,LMH,10,4,D2_A9_E1,10x25cm,10x25cm,,38,155,39,7,0,,25x25cm,25x25cm,4,10,3,,7/38 AV plants with seed have mold; some gopher
140,4/22/15,LMH,10,5,D1_A10,25x25cm,25x25cm,,3,76,0,0,1,,NA,NA,NA,NA,NA,,1 AV plant not yet bearing seeds; some gopher
141,4/22/15,LMH,10,6,D1_A1_E9,25x25cm,25x25cm,,2,17,0,0,0,,25x25cm,25x25cm,8,31,6,,Some gopher
142,4/22/15,LMH,10,7,D1_A5_E5,25x25cm,25x25cm,,6,35,24,1,0,,25x25cm,25x25cm,8,13,3,,1/6 AV plants with seed have mold; some gopher
143,4/22/15,LMH,10,8,D2_A1_E9,25x25cm,25x25cm,,12,50,42,5,1,,10x25cm,10x25cm,5,12,3,,5/12 AV plants with seed have mold
144,4/22/15,LMH,10,9,D2_A10,10x25cm,10x25cm,,11,110,11,1,0,,NA,NA,NA,NA,NA,,1/11 AV plants with seed have mold
145,4/22/15,LMH,10,10,D3_A10,5x5cm,5x5cm,,9,33,10,1,0,,NA,NA,NA,NA,NA,,1/9 AV plants with seed have mold
146,4/22/15,LMH,10,11,D3_A9_E1,5x5cm,5x5cm,,7,91,0,0,0,,25x25cm,25x25cm,4,7,4,,Huge Avena
147,4/22/15,LMH,10,12,D3_A1_E9,25x25cm,25x25cm,,21,225,4,1,0,,*5x5cm,25x25cm,9,18,7,,"*ERO count is 9 stems, 18 storks, and 7 buds when use 25x25cm frame; ""think gopher disturbance <some word with an m> some seeds, big AV"""
148,4/22/15,LMH,10,13,D3_A5_E5,5x5cm,5x5cm,,7,23,0,0,0,,5x5cm,5x5cm,2,3,2,,"""think gopher disturbance <some word with an m> some seeds, big AV"""
149,4/22/15,LMH,10,14,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,11,92,42,,
150,4/22/15,LMH,10,15,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,10x25cm,10x25cm,5,11,6,,
151,4/23/15,LMH,11,1,D1_A1_E9,25x25cm,25x25cm,,2,27,0,0,0,,25x25cm,25x25cm,0,0,0,,"""gopher?"""
152,4/23/15,LMH,11,2,D3_A1_E9,25x25cm,25x25cm,,41,427,55,4,11,,5x5cm,5x5cm,7,8,6,,"4/41 AV plants with seed have mold, ""gopher?"""
153,4/23/15,LMH,11,3,D3_E10,NA,NA,NA,NA,NA,NA,NA,NA,,*5x5cm,25x25cm,1,1,0,,"*ERO count is 1 stem, 1 stork and 0 buds if use 25x25cm frame, ""gopher?"""
154,4/23/15,LMH,11,4,D1_A10,25x25cm,25x25cm,,6,10,111,5,3,,NA,NA,NA,NA,NA,,"5/6 AV plants with seed have mold, ""gopher?"""
155,4/23/15,LMH,11,5,D3_A9_E1,5x5cm,5x5cm,,8,31,0,0,0,,25x25cm,25x25cm,0,0,0,,"""gopher?"""
156,4/23/15,LMH,11,6,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,10x25cm,10x25cm,0,0,0,,
157,4/23/15,LMH,11,7,D2_A1_E9,25x25cm,25x25cm,,11,135,0,0,4,,*10x25cm,25x25cm,5,3,4,,"*ERO count is 5 stems, 3 storks, and 4 buds when use 25x25cm frame"
158,4/23/15,LMH,11,8,D1_E10,NA,NA,NA,NA,NA,NA,NA,NA,,25x25cm,25x25cm,0,0,0,,
159,4/23/15,LMH,11,9,D3_A10,5x5cm,5x5cm,,21,40,2,2,6,,NA,NA,NA,NA,NA,,2/21 AV stems with seed have mold
160,4/23/15,LMH,11,10,D2_A9_E1,10x25cm,10x25cm,,19,62,39,5,1,,25x25cm,25x25cm,0,0,0,,5/19 AV stems with seed have mold
161,4/23/15,LMH,11,11,D3_A5_E5,5x5cm,5x5cm,,8,32,14,2,0,,*5x5cm,25x25cm,3,2,1,,"*ERO count is 3 stems, 2 storks and 1 bud when use 25x25cm frame; ""1/0/1 in the 5x5"""
162,4/23/15,LMH,11,12,D2_A10,10x25cm,10x25cm,,14,126,18,2,4,,NA,NA,NA,NA,NA,,2/14 AV plants with seed have mold; gopher
163,4/23/15,LMH,11,13,D2_A5_E5,10x25cm,10x25cm,,36,196,18,5,3,,*10x25cm,25x25cm,2,0,2,,"5/36 AV plants with seed have mold; *ERO count is 2 stems, 0 stork, 2 buds when use 25x25cm frame"
164,4/23/15,LMH,11,14,D1_A5_E5,25x25cm,25x25cm,,11,119,43,2,1,,25x25cm,25x25cm,3,5,7,,2/11 AV plants with seed have mold
165,4/23/15,LMH,11,15,D1_A9_E1,25x25cm,25x25cm,,14,117,91,5,2,,*25x25cm,25x25cm,0,0,0,,"5/14 AV plants with seed have mold; *ERO count--there is 1 stem, 1 stork and 0 bud on side of plot"
166,4/23/15,LMH,12,1,D2_A9_E1,10x25cm,10x25cm,,22,66,5,2,10,,25x25cm,25x25cm,3,4,3,,2/22 AV plants with seed have mold
167,4/23/15,LMH,12,2,D2_A1_E9,25x25cm,25x25cm,,5,46,0,0,0,,*10x25cm,25x25cm,3,4,5,,1 AV plant has 26 seeds; gopher possibly present; *ERO sampled with 25x25cm frame
168,4/23/15,LMH,12,3,D2_E10,NA,NA,NA,NA,NA,NA,NA,NA,,*10x25cm,25x25cm,3,28,9,,*ERO sampled with 25x25cm frame
169,4/23/15,LMH,12,4,D2_A5_E5,10x25cm,10x25cm,,16,55,24,3,2,,10x25cm,10x25cm,3,4,0,,3/16 AV plants with seed have mold
170,4/23/15,LMH,12,5,D3_A1_E9,25x25cm,25x25cm,,32,77,19,3,10,,5x5cm,5x5cm,1,1,1,,3/32 AV plants with seed have mold
