shelterBlock,plot,subplot,treatment,density,ERprop,AVprop,ERseedin,ERstem,ERseedout,AVseedin,AVstem,AVseedout
D,14,D2_A9_E1,consistentDry,High density,0.1,0.9,20,2,15,180,55,435
D,14,D2_E10,consistentDry,High density,1,0,200,5,25,0,0,NA
D,15,D1_A1_E9,controlRain,Low density,0.9,0.1,18,0,0,2,3,48
D,15,D1_A10,controlRain,Low density,0,1,0,0,NA,20,15,190
D,15,D1_A5_E5,controlRain,Low density,0.5,0.5,10,1,5,10,4,176
D,15,D1_A9_E1,controlRain,Low density,0.1,0.9,2,1,35,18,6,154
D,15,D1_E10,controlRain,Low density,1,0,20,2,80,0,0,NA
D,15,D2_A1_E9,controlRain,High density,0.9,0.1,180,5,38,20,19,328
D,15,D2_A10,controlRain,High density,0,1,0,0,NA,200,48,670
D,15,D2_A5_E5,controlRain,High density,0.5,0.5,100,2,12,100,75,760
D,15,D2_A9_E1,controlRain,High density,0.1,0.9,20,2,5,180,120,915
D,15,D2_E10,controlRain,High density,1,0,200,5,150,0,0,NA
D,16,D1_A1_E9,springDry,Low density,0.9,0.1,18,0,0,2,0,0
D,16,D1_A10,springDry,Low density,0,1,0,0,NA,20,10,116
D,16,D1_A5_E5,springDry,Low density,0.5,0.5,10,3,10,10,12,0
D,16,D1_A9_E1,springDry,Low density,0.1,0.9,2,1,145,18,7,292
D,16,D1_E10,springDry,Low density,1,0,20,0,0,0,0,NA
D,16,D2_A1_E9,springDry,High density,0.9,0.1,180,8,138,20,10,120
D,16,D2_A10,springDry,High density,0,1,0,0,NA,200,5,145
D,16,D2_A5_E5,springDry,High density,0.5,0.5,100,5,25,100,78,165
D,16,D2_A9_E1,springDry,High density,0.1,0.9,20,1,0,180,58,0
D,16,D2_E10,springDry,High density,1,0,200,15,1638,0,0,NA
