plot,subplot,density,treatment,shelterBlock,AVseedin,AVseedout,ERseedin,ERseedout,rm
12,D2_E10,D2,springDry,C,0,NA,200,185,0
13,D1_A1_E9,D1,fallDry,D,2,132,18,85,1
13,D1_A10,D1,fallDry,D,20,363.8095238095238,0,NA,0
13,D1_A5_E5,D1,fallDry,D,10,174,10,190,0
13,D1_A9_E1,D1,fallDry,D,18,224,2,75,0
13,D1_E10,D1,fallDry,D,0,NA,20,320,NA
13,D2_A1_E9,D2,fallDry,D,20,162.66666666666666,180,200,0
13,D2_A10,D2,fallDry,D,200,775,0,NA,0
13,D2_A5_E5,D2,fallDry,D,100,560,100,100,0
13,D2_A9_E1,D2,fallDry,D,180,930,20,115,0
13,D2_E10,D2,fallDry,D,0,NA,200,675,NA
14,D1_A1_E9,D1,consistentDry,D,2,46,18,190,0
14,D1_A10,D1,consistentDry,D,20,174,0,NA,0
14,D1_A5_E5,D1,consistentDry,D,10,58,10,115,0
14,D1_A9_E1,D1,consistentDry,D,18,72,2,50,0
14,D1_E10,D1,consistentDry,D,0,NA,20,10,0
14,D2_A1_E9,D2,consistentDry,D,20,120,180,150,0
14,D2_A10,D2,consistentDry,D,200,590,0,NA,0
14,D2_A5_E5,D2,consistentDry,D,100,525,100,125,0
14,D2_A9_E1,D2,consistentDry,D,180,435,20,15,0
14,D2_E10,D2,consistentDry,D,0,NA,200,25,0
15,D1_A1_E9,D1,controlRain,D,2,48,18,0,0
15,D1_A10,D1,controlRain,D,20,190,0,NA,0
15,D1_A5_E5,D1,controlRain,D,10,176,10,5,0
15,D1_A9_E1,D1,controlRain,D,18,154,2,35,0
15,D1_E10,D1,controlRain,D,0,NA,20,80,0
15,D2_A1_E9,D2,controlRain,D,20,328,180,37.5,0
15,D2_A10,D2,controlRain,D,200,670,0,NA,0
15,D2_A5_E5,D2,controlRain,D,100,760,100,12.5,0
15,D2_A9_E1,D2,controlRain,D,180,915,20,5,0
15,D2_E10,D2,controlRain,D,0,NA,200,150,0
16,D1_A1_E9,D1,springDry,D,2,0,18,0,0
16,D1_A10,D1,springDry,D,20,116,0,NA,0
16,D1_A5_E5,D1,springDry,D,10,0,10,10,0
16,D1_A9_E1,D1,springDry,D,18,292,2,145,0
16,D1_E10,D1,springDry,D,0,NA,20,0,0
16,D2_A1_E9,D2,springDry,D,20,120,180,137.5,0
16,D2_A10,D2,springDry,D,200,145,0,NA,0
16,D2_A5_E5,D2,springDry,D,100,165,100,25,0
16,D2_A9_E1,D2,springDry,D,180,0,20,0,0
16,D2_E10,D2,springDry,D,0,NA,200,1637.5,0
