PRISM Time Series Data
Location:  Lat: 39.2690   Lon: -121.3512   Elev: 528ft
Climate variable: ppt
Spatial resolution: 4km
Period: 1895-10 - 2016-05
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2017-Oct-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches)
1920-10,2.79
1920-11,8.84
1920-12,7.49
1921-01,7.04
1921-02,2.36
1921-03,3.36
1921-04,0.64
1921-05,1.80
1921-06,0.21
1921-07,0.00
1921-08,0.00
1921-09,0.11
1921-10,0.72
1921-11,1.98
1921-12,7.98
1922-01,2.74
1922-02,9.00
1922-03,4.71
1922-04,0.89
1922-05,1.52
1922-06,0.05
1922-07,0.00
1922-08,0.00
1922-09,0.01
1922-10,1.77
1922-11,3.96
1922-12,10.61
1923-01,3.23
1923-02,1.03
1923-03,0.13
1923-04,4.80
1923-05,0.39
1923-06,1.35
1923-07,0.04
1923-08,0.02
1923-09,1.69
1923-10,0.85
1923-11,0.72
1923-12,2.23
1924-01,2.56
1924-02,3.89
1924-03,2.05
1924-04,0.82
1924-05,0.11
1924-06,0.00
1924-07,0.00
1924-08,0.00
1924-09,0.00
1924-10,3.93
1924-11,1.99
1924-12,6.84
1925-01,2.12
1925-02,9.80
1925-03,2.52
1925-04,2.52
1925-05,1.80
1925-06,0.33
1925-07,0.00
1925-08,0.15
1925-09,0.54
1925-10,0.53
1925-11,2.44
1925-12,2.37
1926-01,4.43
1926-02,8.18
1926-03,0.02
1926-04,5.53
1926-05,1.01
1926-06,0.00
1926-07,0.00
1926-08,0.00
1926-09,0.03
1926-10,2.86
1926-11,10.20
1926-12,1.52
1927-01,4.69
1927-02,9.48
1927-03,2.80
1927-04,2.26
1927-05,0.86
1927-06,0.55
1927-07,0.00
1927-08,0.00
1927-09,0.00
1927-10,1.86
1927-11,5.67
1927-12,4.06
1928-01,2.61
1928-02,2.96
1928-03,9.02
1928-04,2.40
1928-05,0.00
1928-06,0.05
1928-07,0.00
1928-08,0.00
1928-09,0.00
1928-10,0.21
1928-11,4.08
1928-12,4.48
1929-01,1.59
1929-02,3.02
1929-03,2.44
1929-04,1.69
1929-05,0.00
1929-06,2.19
1929-07,0.00
1929-08,0.00
1929-09,0.00
1929-10,0.25
1929-11,0.00
1929-12,10.54
1930-01,7.06
1930-02,3.01
1930-03,4.02
1930-04,1.92
1930-05,0.97
1930-06,0.00
1930-07,0.00
1930-08,0.00
1930-09,0.62
1930-10,0.54
1930-11,3.19
1930-12,0.70
1931-01,4.52
1931-02,2.96
1931-03,2.04
1931-04,0.98
1931-05,1.28
1931-06,1.35
1931-07,0.00
1931-08,0.00
1931-09,0.09
1931-10,1.70
1931-11,3.74
1931-12,9.02
1932-01,3.89
1932-02,3.23
1932-03,1.35
1932-04,2.94
1932-05,2.62
1932-06,0.08
1932-07,0.00
1932-08,0.00
1932-09,0.00
1932-10,0.00
1932-11,0.77
1932-12,3.33
1933-01,6.01
1933-02,1.54
1933-03,3.26
1933-04,0.09
1933-05,1.93
1933-06,0.00
1933-07,0.00
1933-08,0.00
1933-09,0.24
1933-10,1.96
1933-11,0.39
1933-12,6.63
1934-01,2.01
1934-02,4.59
1934-03,1.13
1934-04,0.40
1934-05,0.84
1934-06,0.78
1934-07,0.00
1934-08,0.00
1934-09,0.27
1934-10,1.15
1934-11,5.33
1934-12,4.13
1935-01,6.07
1935-02,2.25
1935-03,5.51
1935-04,6.07
1935-05,0.60
1935-06,0.00
1935-07,0.00
1935-08,0.00
1935-09,0.10
1935-10,1.75
1935-11,1.70
1935-12,2.94
1936-01,7.78
1936-02,12.15
1936-03,1.68
1936-04,2.38
1936-05,1.13
1936-06,0.76
1936-07,0.00
1936-08,0.00
1936-09,0.18
1936-10,0.25
1936-11,0.28
1936-12,3.49
1937-01,5.48
1937-02,10.53
1937-03,7.35
1937-04,1.67
1937-05,0.06
1937-06,0.84
1937-07,0.00
1937-08,0.00
1937-09,0.00
1937-10,1.46
1937-11,6.27
1937-12,5.33
1938-01,3.94
1938-02,11.77
1938-03,6.98
1938-04,2.67
1938-05,0.82
1938-06,0.07
1938-07,0.00
1938-08,0.00
1938-09,0.51
1938-10,1.96
1938-11,1.08
1938-12,2.06
1939-01,3.00
1939-02,1.66
1939-03,3.86
1939-04,0.34
1939-05,1.32
1939-06,0.05
1939-07,0.00
1939-08,0.00
1939-09,0.63
1939-10,1.94
1939-11,0.26
1939-12,1.56
1940-01,10.42
1940-02,9.59
1940-03,7.70
1940-04,1.18
1940-05,0.84
1940-06,0.20
1940-07,0.00
1940-08,0.00
1940-09,0.25
1940-10,1.87
1940-11,2.88
1940-12,11.21
1941-01,7.82
1941-02,7.12
1941-03,3.66
1941-04,4.80
1941-05,2.38
1941-06,0.34
1941-07,0.00
1941-08,0.00
1941-09,0.23
1941-10,1.29
1941-11,3.36
1941-12,10.24
1942-01,5.68
1942-02,6.41
1942-03,2.87
1942-04,6.59
1942-05,3.24
1942-06,0.00
1942-07,0.00
1942-08,0.00
1942-09,0.05
1942-10,0.43
1942-11,6.29
1942-12,5.96
1943-01,7.74
1943-02,2.66
1943-03,7.48
1943-04,3.09
1943-05,0.01
1943-06,0.45
1943-07,0.00
1943-08,0.00
1943-09,0.00
1943-10,0.99
1943-11,1.02
1943-12,3.66
1944-01,4.65
1944-02,7.85
1944-03,2.87
1944-04,2.78
1944-05,0.94
1944-06,0.63
1944-07,0.00
1944-08,0.00
1944-09,0.00
1944-10,0.56
1944-11,7.53
1944-12,3.64
1945-01,0.85
1945-02,7.77
1945-03,4.62
1945-04,0.88
1945-05,1.46
1945-06,0.36
1945-07,0.00
1945-08,0.00
1945-09,0.00
1945-10,1.96
1945-11,6.50
1945-12,8.73
1946-01,1.99
1946-02,2.87
1946-03,3.49
1946-04,0.34
1946-05,0.65
1946-06,0.00
1946-07,0.12
1946-08,0.00
1946-09,0.43
1946-10,0.54
1946-11,4.45
1946-12,4.19
1947-01,0.78
1947-02,3.08
1947-03,5.85
1947-04,1.50
1947-05,0.16
1947-06,1.15
1947-07,0.00
1947-08,0.00
1947-09,0.00
1947-10,4.54
1947-11,1.79
1947-12,1.13
1948-01,3.08
1948-02,2.61
1948-03,4.80
1948-04,5.73
1948-05,3.17
1948-06,0.27
1948-07,0.00
1948-08,0.00
1948-09,0.24
1948-10,0.58
1948-11,2.68
1948-12,5.52
1949-01,2.15
1949-02,3.16
1949-03,8.13
1949-04,0.06
1949-05,0.96
1949-06,0.00
1949-07,0.00
1949-08,0.10
1949-09,0.03
1949-10,0.09
1949-11,1.69
1949-12,1.81
1950-01,8.50
1950-02,5.12
1950-03,4.30
1950-04,1.87
1950-05,1.04
1950-06,0.05
1950-07,0.00
1950-08,0.00
1950-09,0.25
1950-10,3.63
1950-11,8.99
1950-12,8.90
1951-01,6.97
1951-02,3.84
1951-03,1.62
1951-04,1.16
1951-05,1.73
1951-06,0.00
1951-07,0.00
1951-08,0.00
1951-09,0.00
1951-10,3.50
1951-11,4.23
1951-12,8.20
1952-01,12.36
1952-02,4.76
1952-03,5.70
1952-04,1.09
1952-05,0.58
1952-06,0.90
1952-07,0.10
1952-08,0.00
1952-09,0.09
1952-10,0.03
1952-11,1.97
1952-12,8.06
1953-01,5.82
1953-02,0.01
1953-03,3.51
1953-04,4.29
1953-05,1.01
1953-06,0.68
1953-07,0.00
1953-08,0.19
1953-09,0.00
1953-10,1.65
1953-11,4.20
1953-12,1.77
1954-01,4.85
1954-02,4.66
1954-03,5.45
1954-04,3.30
1954-05,0.25
1954-06,0.27
1954-07,0.00
1954-08,0.24
1954-09,0.00
1954-10,0.20
1954-11,3.22
1954-12,5.28
1955-01,4.63
1955-02,2.33
1955-03,0.65
1955-04,3.38
1955-05,0.70
1955-06,0.03
1955-07,0.00
1955-08,0.00
1955-09,0.54
1955-10,1.10
1955-11,3.26
1955-12,16.19
1956-01,10.62
1956-02,3.74
1956-03,0.09
1956-04,2.44
1956-05,2.02
1956-06,0.04
1956-07,0.00
1956-08,0.00
1956-09,0.74
1956-10,2.67
1956-11,0.29
1956-12,0.62
1957-01,3.66
1957-02,5.79
1957-03,3.46
1957-04,2.28
1957-05,3.71
1957-06,0.00
1957-07,0.00
1957-08,0.00
1957-09,1.70
1957-10,2.51
1957-11,0.98
1957-12,4.79
1958-01,5.72
1958-02,10.51
1958-03,6.31
1958-04,5.52
1958-05,1.21
1958-06,0.50
1958-07,0.00
1958-08,0.01
1958-09,0.34
1958-10,0.45
1958-11,0.65
1958-12,2.08
1959-01,6.17
1959-02,7.00
1959-03,1.73
1959-04,0.82
1959-05,0.08
1959-06,0.00
1959-07,0.00
1959-08,0.09
1959-09,2.46
1959-10,0.00
1959-11,0.00
1959-12,1.88
1960-01,6.14
1960-02,5.87
1960-03,4.65
1960-04,2.23
1960-05,1.05
1960-06,0.00
1960-07,0.00
1960-08,0.01
1960-09,0.17
1960-10,0.37
1960-11,6.98
1960-12,2.06
1961-01,2.47
1961-02,3.79
1961-03,4.29
1961-04,1.52
1961-05,0.62
1961-06,0.26
1961-07,0.00
1961-08,0.01
1961-09,0.15
1961-10,0.41
1961-11,2.56
1961-12,3.86
1962-01,2.40
1962-02,11.91
1962-03,3.56
1962-04,0.94
1962-05,0.51
1962-06,0.00
1962-07,0.00
1962-08,0.14
1962-09,0.13
1962-10,13.15
1962-11,1.33
1962-12,3.85
1963-01,2.85
1963-02,3.14
1963-03,4.73
1963-04,6.43
1963-05,1.61
1963-06,0.56
1963-07,0.00
1963-08,0.00
1963-09,0.33
1963-10,2.58
1963-11,7.37
1963-12,0.73
1964-01,5.68
1964-02,0.53
1964-03,2.10
1964-04,0.76
1964-05,1.26
1964-06,0.56
1964-07,0.03
1964-08,0.02
1964-09,0.09
1964-10,1.43
1964-11,5.15
1964-12,9.66
1965-01,6.77
1965-02,0.83
1965-03,1.65
1965-04,4.89
1965-05,0.08
1965-06,0.00
1965-07,0.00
1965-08,1.20
1965-09,0.22
1965-10,0.34
1965-11,6.03
1965-12,3.99
1966-01,3.89
1966-02,3.14
1966-03,1.29
1966-04,2.20
1966-05,0.24
1966-06,0.06
1966-07,0.00
1966-08,0.00
1966-09,0.00
1966-10,0.00
1966-11,8.99
1966-12,4.88
1967-01,10.02
1967-02,1.06
1967-03,5.24
1967-04,6.45
1967-05,0.36
1967-06,1.61
1967-07,0.00
1967-08,0.00
1967-09,0.13
1967-10,1.15
1967-11,2.74
1967-12,3.02
1968-01,5.88
1968-02,5.45
1968-03,3.09
1968-04,0.34
1968-05,0.65
1968-06,0.33
1968-07,0.00
1968-08,0.69
1968-09,0.06
1968-10,2.05
1968-11,5.39
1968-12,5.91
1969-01,13.58
1969-02,8.78
1969-03,2.56
1969-04,2.64
1969-05,0.00
1969-06,0.26
1969-07,0.00
1969-08,0.00
1969-09,0.00
1969-10,1.72
1969-11,1.73
1969-12,9.06
1970-01,11.71
1970-02,2.78
1970-03,4.27
1970-04,0.33
1970-05,0.00
1970-06,0.68
1970-07,0.00
1970-08,0.00
1970-09,0.00
1970-10,1.51
1970-11,7.58
1970-12,9.02
1971-01,2.35
1971-02,0.28
1971-03,4.74
1971-04,1.09
1971-05,1.18
1971-06,0.19
1971-07,0.00
1971-08,0.02
1971-09,0.36
1971-10,0.63
1971-11,2.22
1971-12,7.42
1972-01,1.56
1972-02,3.29
1972-03,0.56
1972-04,2.00
1972-05,0.51
1972-06,0.22
1972-07,0.00
1972-08,0.00
1972-09,1.55
1972-10,2.35
1972-11,7.45
1972-12,4.36
1973-01,11.97
1973-02,8.77
1973-03,4.07
1973-04,0.56
1973-05,0.27
1973-06,0.05
1973-07,0.00
1973-08,0.00
1973-09,0.53
1973-10,2.91
1973-11,10.93
1973-12,7.23
1974-01,5.49
1974-02,2.36
1974-03,7.98
1974-04,2.37
1974-05,0.03
1974-06,0.28
1974-07,2.51
1974-08,0.00
1974-09,0.00
1974-10,1.53
1974-11,1.99
1974-12,3.08
1975-01,2.14
1975-02,11.11
1975-03,6.44
1975-04,2.19
1975-05,0.13
1975-06,0.14
1975-07,0.10
1975-08,0.52
1975-09,0.02
1975-10,4.33
1975-11,1.67
1975-12,1.90
1976-01,0.70
1976-02,2.10
1976-03,1.44
1976-04,2.05
1976-05,0.00
1976-06,0.06
1976-07,0.00
1976-08,1.27
1976-09,0.90
1976-10,0.10
1976-11,1.04
1976-12,0.62
1977-01,2.16
1977-02,2.17
1977-03,1.44
1977-04,0.25
1977-05,1.89
1977-06,0.01
1977-07,0.07
1977-08,0.06
1977-09,0.79
1977-10,0.29
1977-11,3.00
1977-12,6.47
1978-01,10.48
1978-02,4.54
1978-03,6.84
1978-04,5.46
1978-05,0.22
1978-06,0.06
1978-07,0.00
1978-08,0.00
1978-09,1.33
1978-10,0.00
1978-11,4.09
1978-12,1.49
1979-01,6.44
1979-02,7.10
1979-03,4.26
1979-04,2.06
1979-05,0.90
1979-06,0.00
1979-07,0.21
1979-08,0.28
1979-09,0.10
1979-10,3.33
1979-11,2.83
1979-12,5.20
1980-01,7.92
1980-02,9.09
1980-03,3.23
1980-04,1.19
1980-05,0.79
1980-06,0.30
1980-07,0.36
1980-08,0.00
1980-09,0.08
1980-10,0.63
1980-11,0.65
1980-12,3.67
1981-01,6.65
1981-02,1.81
1981-03,5.63
1981-04,1.04
1981-05,0.46
1981-06,0.00
1981-07,0.00
1981-08,0.00
1981-09,1.04
1981-10,4.44
1981-11,10.19
1981-12,7.45
1982-01,6.54
1982-02,4.40
1982-03,7.82
1982-04,7.34
1982-05,0.00
1982-06,0.41
1982-07,0.07
1982-08,0.03
1982-09,1.76
1982-10,4.41
1982-11,7.85
1982-12,5.10
1983-01,6.45
1983-02,7.62
1983-03,11.35
1983-04,5.21
1983-05,0.66
1983-06,0.55
1983-07,0.03
1983-08,0.23
1983-09,1.47
1983-10,1.44
1983-11,10.98
1983-12,11.57
1984-01,0.52
1984-02,4.50
1984-03,2.45
1984-04,1.54
1984-05,0.23
1984-06,0.24
1984-07,0.00
1984-08,0.37
1984-09,0.29
1984-10,2.70
1984-11,7.34
1984-12,2.31
1985-01,0.99
1985-02,3.19
1985-03,4.41
1985-04,0.06
1985-05,0.00
1985-06,0.08
1985-07,0.03
1985-08,0.13
1985-09,1.49
1985-10,1.11
1985-11,6.93
1985-12,2.86
1986-01,4.13
1986-02,12.48
1986-03,5.20
1986-04,1.16
1986-05,1.03
1986-06,0.00
1986-07,0.00
1986-08,0.00
1986-09,2.22
1986-10,0.50
1986-11,0.92
1986-12,2.23
1987-01,4.52
1987-02,4.38
1987-03,5.37
1987-04,0.24
1987-05,0.12
1987-06,0.00
1987-07,0.00
1987-08,0.00
1987-09,0.00
1987-10,0.86
1987-11,2.77
1987-12,7.04
1988-01,5.07
1988-02,0.35
1988-03,1.02
1988-04,3.68
1988-05,1.46
1988-06,0.69
1988-07,0.00
1988-08,0.00
1988-09,0.00
1988-10,0.03
1988-11,7.67
1988-12,4.36
1989-01,2.28
1989-02,2.34
1989-03,11.72
1989-04,1.22
1989-05,0.20
1989-06,0.43
1989-07,0.00
1989-08,0.38
1989-09,3.07
1989-10,2.87
1989-11,1.89
1989-12,0.00
1990-01,6.79
1990-02,4.74
1990-03,2.40
1990-04,0.89
1990-05,3.56
1990-06,0.00
1990-07,0.00
1990-08,0.00
1990-09,0.04
1990-10,0.57
1990-11,1.45
1990-12,2.03
1991-01,1.06
1991-02,2.93
1991-03,13.15
1991-04,0.71
1991-05,1.14
1991-06,0.76
1991-07,0.00
1991-08,0.09
1991-09,0.02
1991-10,2.87
1991-11,0.98
1991-12,2.99
1992-01,2.96
1992-02,9.23
1992-03,3.11
1992-04,1.50
1992-05,0.00
1992-06,0.66
1992-07,0.00
1992-08,0.01
1992-09,0.00
1992-10,1.65
1992-11,0.46
1992-12,8.15
1993-01,11.14
1993-02,8.05
1993-03,3.49
1993-04,2.39
1993-05,2.05
1993-06,1.64
1993-07,0.00
1993-08,0.35
1993-09,0.00
1993-10,1.42
1993-11,2.61
1993-12,3.63
1994-01,2.90
1994-02,4.35
1994-03,0.93
1994-04,1.95
1994-05,0.81
1994-06,0.00
1994-07,0.00
1994-08,0.00
1994-09,0.13
1994-10,1.08
1994-11,5.49
1994-12,7.19
1995-01,13.28
1995-02,0.32
1995-03,12.93
1995-04,2.71
1995-05,2.81
1995-06,1.38
1995-07,0.00
1995-08,0.00
1995-09,0.00
1995-10,0.00
1995-11,0.06
1995-12,7.73
1996-01,5.18
1996-02,7.06
1996-03,2.74
1996-04,4.82
1996-05,3.96
1996-06,0.06
1996-07,0.03
1996-08,0.00
1996-09,0.16
1996-10,2.29
1996-11,3.04
1996-12,11.32
1997-01,9.63
1997-02,0.31
1997-03,1.17
1997-04,0.77
1997-05,0.34
1997-06,0.56
1997-07,0.00
1997-08,0.45
1997-09,0.32
1997-10,2.09
1997-11,6.28
1997-12,3.83
1998-01,10.93
1998-02,12.03
1998-03,3.64
1998-04,3.47
1998-05,5.11
1998-06,0.59
1998-07,0.00
1998-08,0.00
1998-09,0.75
1998-10,1.04
1998-11,5.61
1998-12,2.44
1999-01,5.22
1999-02,8.54
1999-03,1.96
1999-04,1.62
1999-05,0.14
1999-06,0.07
1999-07,0.00
1999-08,0.02
1999-09,0.00
1999-10,1.24
1999-11,3.10
1999-12,0.91
2000-01,6.96
2000-02,13.34
2000-03,3.92
2000-04,1.99
2000-05,1.44
2000-06,0.23
2000-07,0.00
2000-08,0.00
2000-09,0.85
2000-10,3.08
2000-11,1.29
2000-12,0.98
2001-01,4.16
2001-02,6.17
2001-03,2.24
2001-04,2.00
2001-05,0.00
2001-06,0.18
2001-07,0.00
2001-08,0.00
2001-09,0.42
2001-10,1.46
2001-11,4.85
2001-12,8.72
2002-01,3.30
2002-02,2.34
2002-03,4.37
2002-04,0.59
2002-05,1.50
2002-06,0.00
2002-07,0.00
2002-08,0.00
2002-09,0.00
2002-10,0.00
2002-11,2.57
2002-12,10.99
2003-01,2.84
2003-02,1.96
2003-03,2.73
2003-04,4.98
2003-05,1.87
2003-06,0.00
2003-07,0.00
2003-08,1.43
2003-09,0.00
2003-10,0.07
2003-11,3.73
2003-12,7.85
2004-01,2.97
2004-02,6.75
2004-03,1.30
2004-04,0.23
2004-05,0.18
2004-06,0.00
2004-07,0.00
2004-08,0.00
2004-09,0.33
2004-10,3.89
2004-11,2.94
2004-12,5.84
2005-01,4.43
2005-02,2.77
2005-03,5.13
2005-04,1.09
2005-05,3.33
2005-06,0.82
2005-07,0.00
2005-08,0.00
2005-09,0.18
2005-10,0.91
2005-11,2.50
2005-12,12.47
2006-01,4.89
2006-02,3.21
2006-03,8.69
2006-04,5.98
2006-05,0.67
2006-06,0.00
2006-07,0.00
2006-08,0.00
2006-09,0.00
2006-10,0.12
2006-11,2.70
2006-12,4.74
2007-01,0.02
2007-02,7.71
2007-03,0.64
2007-04,2.29
2007-05,0.68
2007-06,0.00
2007-07,0.01
2007-08,0.00
2007-09,0.62
2007-10,2.05
2007-11,1.18
2007-12,5.53
2008-01,8.32
2008-02,3.76
2008-03,0.21
2008-04,0.23
2008-05,0.09
2008-06,0.00
2008-07,0.00
2008-08,0.00
2008-09,0.00
2008-10,1.50
2008-11,2.31
2008-12,3.71
2009-01,1.88
2009-02,5.98
2009-03,3.19
2009-04,0.21
2009-05,2.57
2009-06,0.71
2009-07,0.00
2009-08,0.00
2009-09,0.19
2009-10,2.28
2009-11,1.57
2009-12,3.51
2010-01,7.58
2010-02,3.05
2010-03,2.25
2010-04,6.22
2010-05,1.72
2010-06,0.00
2010-07,0.00
2010-08,0.00
2010-09,0.00
2010-10,4.47
2010-11,4.52
2010-12,10.38
2011-01,1.82
2011-02,6.05
2011-03,9.39
2011-04,0.83
2011-05,2.15
2011-06,1.66
2011-07,0.00
2011-08,0.00
2011-09,0.77
2011-10,2.24
2011-11,1.18
2011-12,0.15
2012-01,4.00
2012-02,1.61
2012-03,8.76
2012-04,4.21
2012-05,0.04
2012-06,0.09
2012-07,0.01
2012-08,0.00
2012-09,0.00
2012-10,1.93
2012-11,8.07
2012-12,11.53
2013-01,0.60
2013-02,0.70
2013-03,2.52
2013-04,1.04
2013-05,0.39
2013-06,0.82
2013-07,0.00
2013-08,0.01
2013-09,0.75
2013-10,0.09
2013-11,1.49
2013-12,0.23
2014-01,0.81
2014-02,8.26
2014-03,5.84
2014-04,0.96
2014-05,0.07
2014-06,0.00
2014-07,0.00
2014-08,0.06
2014-09,0.50
2014-10,1.37
2014-11,3.46
2014-12,10.10
2015-01,0.07
2015-02,2.90
2015-03,0.31
2015-04,2.77
2015-05,0.13
2015-06,0.03
2015-07,0.03
2015-08,0.00
2015-09,0.12
2015-10,0.31
2015-11,3.39
2015-12,5.28
2016-01,8.84
2016-02,1.63
2016-03,9.75
2016-04,1.15
2016-05,0.65
